Fuca1-2Gal
Fuca1-2Galb1-3GalNAc
Fuca1-2Galb1-3GalNAca1-3(Fuca1-2)Galb1-4Glc
Fuca1-2Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAc
Fuca1-2Galb1-3GalNAcb1-3Gal
Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glc
Fuca1-2Galb1-3GalNAcb1-3Galb1-4Glc
Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glc
Fuca1-2Galb1-3GlcNAc
Fuca1-2Galb1-3GlcNAcb1-2Mana1-3(Fuca1-2Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAc
Fuca1-2Galb1-3GlcNAcb1-2Mana1-3(Fuca1-2Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAc
Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glc
Fuca1-2Galb1-3GlcNAcb1-3GalNAc
Fuca1-2Galb1-3GlcNAcb1-3(Fuca1-2Galb1-3GlcNAcb1-6)GalNAc
Fuca1-2Galb1-3GlcNAcb1-3(Fuca1-3(Galb1-4)GlcNAcb1-6)Galb1-4Glc
Fuca1-2Galb1-3GlcNAcb1-3(Galb1-4GlcNAcb1-6)Galb1-4Glc
Fuca1-2Galb1-3GlcNAcb1-3(Galb1-4(Fuca1-3)GlcNAcb1-6)Galb1-4Glc
Fuca1-2Galb1-3GlcNAcb1-3(Neu5Aca2-6Galb1-4GlcNAcb1-6)Galb1-4Glc
Fuca1-2Galb1-3GlcNAc6S
Fuca1-2Galb1-3(Fuca1-4)GlcNAc
Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-3(Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAc
Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-3(Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb1-4(Fuca1-6)GlcNAc
