Gala-Sp8
Glca-Sp8
Mana-Sp8
GalNAca-Sp8
GalNAca-Sp15
Fuca-Sp8
Fuca-Sp9
Rhaa-Sp8
Neu5Aca-Sp8
Neu5Aca-Sp11
Neu5Acb-Sp8
Galb-Sp8
Glcb-Sp8
Manb-Sp8
GalNAcb-Sp8
GlcNAcb-Sp0
GlcNAcb-Sp8
GlcN(Gc)b-Sp8
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8
Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAc-Sp14
GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8
6S3SGalb1-46SGlcNAcb-Sp0
6S3SGalb1-4GlcNAcb-Sp0
3SGalb1-4(Fuca1-3)6SGlc-Sp0
3SGalb1-4Glcb-Sp8
3SGalb1-46SGlcb-Sp0
3SGalb1-46SGlcb-Sp8
3SGalb1-3(Fuca1-4)GlcNAcb-Sp8
3SGalb1-3GalNAca-Sp8
3SGalb1-3GlcNAcb-Sp0
3SGalb1-3GlcNAcb-Sp8
3SGalb1-4(Fuca1-3)GlcNAc-Sp0 
3SGalb1-4(Fuca1-3)GlcNAc-Sp8
3SGalb1-46SGlcNAcb-Sp0
3SGalb1-46SGlcNAcb-Sp8
3SGalb1-4GlcNAcb-Sp0
3SGalb1-4GlcNAcb-Sp8
3SGalb-Sp8
6S4SGalb1-4GlcNAcb-Sp0
4SGalb1-4GlcNAcb-Sp8
6PMana-Sp8
6SGalb1-4Glcb-Sp0
6SGalb1-4Glcb-Sp8
6SGalb1-4GlcNAcb-Sp8
6SGalb1-46SGlcb-Sp8
Neu5Aca2-36SGalb1-4GlcNAcb-Sp8
6SGlcNAcb-Sp8
"Neu5,9Ac2a-Sp8"
"Neu5,9Ac2a2-6Galb1-4GlcNAcb-Sp8"
Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12
Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13
GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12
GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp13
Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21
Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24
Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9
Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9
Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8
Fuca1-2Galb1-3GalNAca-Sp8
Fuca1-2Galb1-3GalNAca-Sp14
Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0
Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9
Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8
Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10
Fuca1-2Galb1-3GlcNAcb-Sp0
Fuca1-2Galb1-3GlcNAcb-Sp8
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8
Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0
Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0
Fuca1-2Galb1-4GlcNAcb-Sp0
Fuca1-2Galb1-4GlcNAcb-Sp8
Fuca1-2Galb1-4Glcb-Sp0
Fuca1-2Galb-Sp8
Fuca1-3GlcNAcb-Sp8
Fuca1-4GlcNAcb-Sp8
Fucb1-3GlcNAcb-Sp8
GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0
GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0
3SGalb1-4(Fuca1-3)Glcb-Sp0
GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0
